_rank|📈|_name|_score|_link|backdrop|class|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
1|🟢+4|Mark|2039.0740740740741|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/521||||||||Dreamer||Mark||The Dreamer
2|🟢+1|Saylor|2037.75|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/509||||||||Giant||Saylor||The Giant
3|🟢+1|Penny|2031.4411764705883|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/76||||||||Coin||Penny||The Coin
4|🟢+598|BitToonDAO #701|1150.5515861368253|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/701|Warrior||Warrior|Cosmic Lovie|None|Warrior|Warrior|Pirate|Warrior||Metal|
5|🟢+2|BitToonDAO #414|1130.6116314191415|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/414|Double Chups||Graduation Gown|Sunset Rubie|None|None|Chubby Unicorn|Cypher|None||Wood|
6|🟢+596|BitToonDAO #998|1122.3420357893212|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/998|Warrior||Warrior|Elegant Goldie|None|Warrior|Warrior|Vampire|Warrior||Plastic|
7|🔴-6|BitToonDAO #294|1121.4898605232825|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/294|Warrior||Warrior|Emerald Jettie|None|Warrior|Warrior|Market|Warrior||Plastic|
8|🔴-6|BitToonDAO #97|1117.6596919168362|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/97|Warrior||Warrior|Dusty Cyanie|None|Warrior|Warrior|Giant|Warrior||Plastic|
9|🔴-1|BitToonDAO #16|1104.8929427939709|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/16|Devil Wings||Count|Silver Lavandie|None|Cyclops|Santa Hat|Seed|None||Fur|
10|🟢+592|BitToonDAO #997|1087.1333178124216|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/997|Guitar||T-Shirt|Sunset Rubie|None|3D Goggles||Angel|Crow Beak||Plastic|
11|🔴-2|BitToonDAO #564|1076.684632359623|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/564|Skateboard||T-Shirt|Elegant Goldie|None|Cyclops|Safety Helmet|Chef|None||Plastic|
12|🟢+590|Bittoon DAO #699|500.5|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/699||egg||||||||||
12|🟢+590|Bittoon DAO #700|500.5|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/700||egg||||||||||
14|🟢+588|BitToonDAO #957|457.0497954002303|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/957|Warrior||Oriental Uniform|Silver Lavandie|None|None|Tengu Mask|Government|Face Mask||Clay Dough|
15|🔴-9|BitToonDAO #336|394.0765753355054|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/336|Skateboard||Oriental Uniform|Silver Lavandie|None|None|Tengu Mask|Media|Face Mask||Clay Dough|
16|🟢+586|BitToonDAO #717|384.2497954002303|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/717|RPG||Oriental Uniform|Silver Lavandie|None|None|Tengu Mask|Angel|Face Mask||Clay Dough|
