_rank|📈|_name|_score|_link|backdrop|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
1|🔵|Java|4270.472727272727|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1103|||||||Bot||Java||The Bot
2|🟡|Ico|4269.785714285714|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2106|||||||Pirate||Ico||The Pirate
3|🔴-1|Saylor|4269.122807017544|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/509|||||||Giant||Saylor||The Giant
3|🟡|Maxi|4269.122807017544|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2109|||||||Bull||Maxi||The Bull
3|🟡|Scammy|4269.122807017544|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2113|||||||Vampire||Scammy||The Vampire
3|🟡|Luci|4269.122807017544|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2115|||||||Demon||Luci||The Demon
7|🔴-4|Mark|4267.864406779661|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/521|||||||Dreamer||Mark||The Dreamer
8|🟡|No Name|4267.266666666666|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2110|||||||Government||No Name||The Government
9|🟡|Fedo|4266.688524590164|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2112|||||||Bank||Fedo||The Bank
9|🟡|Duba|4266.688524590164|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2114|||||||Market||Duba||The Market
11|🔴-7|Penny|4266.129032258064|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/76|||||||Coin||Penny||The Coin
12|🟡|Pow|4265.587301587302|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2111|||||||Miner||Pow||The Miner
13|🟡|Seiryu|4265.0625|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2108|||||||Dragon||Seiryu||The Dragon
14|🟡|Midas|4264.060606060606|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2107|||||||Gold||Midas||The Gold
15|🔴-10|Genbu|4261.802816901409|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1067|||||||Turtle||Genbu||The Turtle
16|🔴-10|BitToonDAO #16|2247.078389451451|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/16|Devil Wings|Count|Silver Lavandie|None|Cyclops|Santa Hat|Seed|None||Fur|
17|🟢+1546|BitToonDAO #1354|2211.8171149964023|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1354|Guitar|Oriental Uniform|Dusty cyanie|None|None|Farmer Hat|Believer|Duckie||Plastic|
18|🔴-11|BitToonDAO #997|2211.3825613409526|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/997|Guitar|T-Shirt|Sunset Rubie|None|3D Goggles||Angel|Crow Beak||Plastic|
19|🔴-11|BitToonDAO #564|2198.4541605732225|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/564|Skateboard|T-Shirt|Elegant Goldie|None|Cyclops|Safety Helmet|Chef|None||Plastic|
20|🔴-11|BitToonDAO #701|1837.9843880134201|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/701|Warrior|Warrior|Cosmic Lovie|None|Warrior|Warrior|Pirate|Warrior||Metal|
21|🔴-11|BitToonDAO #998|1806.5428600263115|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/998|Warrior|Warrior|Elegant Goldie|None|Warrior|Warrior|Vampire|Warrior||Plastic|
22|🔴-11|BitToonDAO #294|1804.2781085046722|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/294|Warrior|Warrior|Emerald Jettie|None|Warrior|Warrior|Market|Warrior||Plastic|
23|🔴-11|BitToonDAO #2010|1803.8887446447186|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2010|Warrior|Warrior|Silver Lavandie|None|Warrior|Warrior|Queen|Warrior||Plastic|
24|🔴-11|BitToonDAO #97|1802.7662154572142|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/97|Warrior|Warrior|Dusty Cyanie|None|Warrior|Warrior|Giant|Warrior||Plastic|
25|🔴-11|BitToonDAO #414|451.07023199372645|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/414|Double Chups|Graduation Gown|Sunset Rubie|None|None|Chubby Unicorn|Cypher|None||Wood|
26|🔴-11|BitToonDAO #2036|449.9552972571655|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2036|Oxygen Tank|Graduation Gown|Sunset Rubie|None|None|Cat Earphones|Bull|None||Wood|
27|🔴-11|BitToonDAO #1341|443.8082005231844|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1341|Double Chups|Graduation Gown|Sunset Rubie|None|None|Witch Hat|Government|None||Wood|
28|🔴-11|BitToonDAO #1317|399.16503478276|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1317|Double Chups|None|Sunset Rubie|None|None|Pumpkin Head|Government|None||Wood|
29|🔴-10|BitToonDAO #1474|389.12679605977553|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1474|Double Chups|None|Sunset Rubie|None|None|Lovelove Headband|Dreamer|None||Wood|
30|🔴-10|BitToonDAO #1224|389.0888443065695|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1224|Double Chups|None|Sunset Rubie|None|None|Farmer Hat|Chef|None||Wood|
31|🔴-13|BitToonDAO #1148|389.039300036084|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1148|Backpack|None|Sunset Rubie|None|None|Frog Head|Bank|None||Wood|
32|🔴-11|BitToonDAO #957|334.1189545953947|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/957|Warrior|Oriental Uniform|Silver Lavandie|None|None|Tengu Mask|Government|Face Mask||Clay Dough|
33|🔴-11|BitToonDAO #2092|325.62615110289767|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2092|None|Leather Jacket|Billiard Whitie|None|Sunglasses|Hat|Bank|Moustache&Pipe||Plastic|
34|🔴-11|BitToonDAO #703|318.2827894826389|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/703|None|Leather Jacket|Sunset Rubie|None|Sunglasses|Hat|Cypher|Moustache&Pipe||Plastic|
35|🔴-11|BitToonDAO #1838|315.4039832250152|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1838|BitToon Flag|Leather Jacket|Autumn Lillie|None|Sunglasses|Hat|Miner|Moustache&Pipe||Metal|
36|🔴-11|BitToonDAO #627|313.3432496447384|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/627|None|Leather Jacket|Dusty Cyanie|None|Sunglasses|Hat|Market|Moustache&Pipe||Plastic|
37|🔴-11|BitToonDAO #1840|311.0719574776007|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1840|RPG|Leather Jacket|Autumn Lillie|None|Sunglasses|Hat|Bot|Moustache&Pipe||Plastic|
