rank|name|score|link|class|outfit|eyewear|skin|headwear|special
1|BullMoon #16|1208.3333333333333|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/16|rare|full business suit|classic glasses|silver|leather hat|dollar earring
2|BullMoon #6|1127.5773195876288|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/6|common|soccer jersey|classic glasses|blue|wizard hat|soccer ball
2|BullMoon #13|1127.5773195876288|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/13|common|magenta spacesuit|sci-fi 3|metallic black|peach hair|spacesuit helmet 
4|BullMoon #8|1003.6019097515633|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/8|common|woven sweater|night wing mask|metallic cyan|robin hood hat|-
4|BullMoon #9|1003.6019097515633|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/9|common|business shirt 1|sci-fi 2|red|safety helmet|-
6|BullMoon #1|960.9106529209622|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1|common|black woven sweater|sci-fi 1|purple|xmas|unicorn locket
7|BullMoon #99|958.3333333333333|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/99|rare|clown suit|laser safety|pink|lavender hair|clown locket
8|BullMoon #3|878.6019097515633|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/3|common|silver leather jacket|carnival mask 1|metallic blue|steampunk vintage hat|-
8|BullMoon #7|878.6019097515633|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/7|common|leather jacket|fancy mask 1|green|fin helmet|-
8|BullMoon #12|878.6019097515633|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/12|common|baseball jacket|star fancy glasses|metallic purple|green hair|-
8|BullMoon #19|878.6019097515633|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/19|common|black leather jacket|hero mask|metallic green|tweed flat cap|-
12|BullMoon #10|833.3333333333333|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/10|rare|clown suit|ok glasses|green|jester hat|clown locket
13|BullMoon #4|753.6019097515633|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/4|common|scotch shirt|hero mask|basil|black hair|-
13|BullMoon #20|753.6019097515633|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/20|common|silver hoodie|carnival mask 1|orange|fisherman hat|-
15|BullMoon #11|711.9352430848967|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/11|common|mountain jacket|laser safety glasses|black|army cap|-
15|BullMoon #14|711.9352430848967|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/14|common|hoodie|sci-fi 1|pale dark green|jester hat|-
15|BullMoon #15|711.9352430848967|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/15|common|iron suit|laser safety glasses|pink|spiked biker helmet|-
18|BullMoon #5|628.6019097515633|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/5|common|mountain jacket|star fancy glasses|metallic lavender|fisherman hat|-
18|BullMoon #17|628.6019097515633|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/17|common|tanktop 1|sci-fi 3|egg|magenta hair|-
20|BullMoon #2|586.9352430848967|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/2|common|tanktop 1|laser safety glasses|egg|cap 1|-
20|BullMoon #18|586.9352430848967|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/18|common|scotch shirt|sci-fi 1|purple|small horn helmet|-
22|BullMoon #21|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/21|common|||||-
22|BullMoon #22|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/22|common|||||-
22|BullMoon #23|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/23|common|||||-
22|BullMoon #24|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/24|common|||||-
22|BullMoon #25|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/25|common|||||-
22|BullMoon #26|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/26|common|||||-
22|BullMoon #27|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/27|common|||||-
22|BullMoon #28|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/28|common|||||-
22|BullMoon #29|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/29|common|||||-
22|BullMoon #30|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/30|common|||||-
22|BullMoon #31|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/31|common|||||-
22|BullMoon #32|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/32|common|||||-
22|BullMoon #33|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/33|common|||||-
22|BullMoon #34|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/34|common|||||-
22|BullMoon #35|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/35|common|||||-
22|BullMoon #36|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/36|common|||||-
22|BullMoon #37|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/37|common|||||-
22|BullMoon #38|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/38|common|||||-
22|BullMoon #39|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/39|common|||||-
22|BullMoon #40|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/40|common|||||-
22|BullMoon #41|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/41|common|||||-
22|BullMoon #42|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/42|common|||||-
22|BullMoon #43|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/43|common|||||-
22|BullMoon #44|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/44|common|||||-
22|BullMoon #45|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/45|common|||||-
22|BullMoon #46|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/46|common|||||-
22|BullMoon #47|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/47|common|||||-
22|BullMoon #48|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/48|common|||||-
22|BullMoon #49|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/49|common|||||-
22|BullMoon #50|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/50|common|||||-
22|BullMoon #51|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/51|common|||||-
22|BullMoon #52|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/52|common|||||-
22|BullMoon #53|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/53|common|||||-
22|BullMoon #54|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/54|common|||||-
22|BullMoon #55|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/55|common|||||-
22|BullMoon #56|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/56|common|||||-
22|BullMoon #57|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/57|common|||||-
22|BullMoon #58|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/58|common|||||-
22|BullMoon #59|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/59|common|||||-
22|BullMoon #60|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/60|common|||||-
22|BullMoon #61|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/61|common|||||-
22|BullMoon #62|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/62|common|||||-
22|BullMoon #63|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/63|common|||||-
22|BullMoon #64|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/64|common|||||-
22|BullMoon #65|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/65|common|||||-
22|BullMoon #66|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/66|common|||||-
22|BullMoon #67|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/67|common|||||-
22|BullMoon #68|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/68|common|||||-
22|BullMoon #69|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/69|common|||||-
22|BullMoon #70|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/70|common|||||-
22|BullMoon #71|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/71|common|||||-
22|BullMoon #72|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/72|common|||||-
22|BullMoon #73|16.260137599664557|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/73|common|||||-
