_rank|📈|_name|_score|_link|class|extra|eyewear|headwear|outfit|skin|special
1|🟢+446|BullMoon #1577|9547.875|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1577|superrare||yellow armor set|yellow armor set|yellow armor set|lightgray|yellow armor set
2|🟢+445|BullMoon #1072|8604.875|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1072|superrare||blue-gold armor set|blue-gold armor set|blue-gold armor set|darkgray|blue-gold armor set
2|🟢+445|BullMoon #1255|8604.875|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1255|superrare||green armor set|green armor set|green armor set|darkgray|green armor set
4|🟡|BullMoon #1823|8290.541666666668|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1823|superrare||lavender armor set|lavender armor set|lavender armor set|cyan|lavender armor set
5|🔴-2|BullMoon #13|8173.89453125|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/13|common||sci-fi 3|peach hair|magenta spacesuit|metallic black|spacesuit helmet 
6|🟢+441|BullMoon #511|8039.075|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/511|superrare||ashes armor set|ashes armor set|ashes armor set|gray|ashes armor set
6|🟢+441|BullMoon #609|8039.075|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/609|superrare||pink-green armor set|pink-green armor set|pink-green armor set|green|pink-green armor set
6|🟢+441|BullMoon #709|8039.075|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/709|superrare||white armor set|white armor set|white armor set|gray|white armor set
6|🟢+441|BullMoon #1145|8039.075|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1145|superrare||chartreuse armor set|chartreuse armor set|chartreuse armor set|gray|chartreuse armor set
10|🟢+437|BullMoon #346|7976.208333333333|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/346|superrare||pink armor set|pink armor set|pink armor set|pink|pink armor set
11|🔴-10|BullMoon #302|7833.329545454545|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/302|superrare||black armor set|black armor set|black armor set|red|black armor set
11|🟢+436|BullMoon #811|7833.329545454545|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/811|superrare||red armor set|red armor set|red armor set|red|red armor set
11|🟢+436|BullMoon #947|7833.329545454545|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/947|superrare||devil armor set|devil armor set|devil armor set|red|devil armor set
14|🟢+433|BullMoon #1377|7779.75|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1377|superrare||cyan armor set|cyan armor set|cyan armor set|black|cyan armor set
14|🟢+433|BullMoon #1510|7779.75|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1510|superrare||tangerine armor set|tangerine armor set|tangerine armor set|black|tangerine armor set
16|🔴-10|BullMoon #1|6265.442150297619|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1|common|unicorn locket|sci-fi 1|xmas|black woven sweater|purple|
17|🔴-6|BullMoon #6|6130.727864583333|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/6|common||classic glasses|wizard hat|soccer jersey|blue|soccer ball
18|🔴-11|BullMoon #7|6037.603675057148|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/7|common||fancy mask 1|fin helmet|leather jacket|green|-
18|🔴-11|BullMoon #12|6037.603675057148|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/12|common||star fancy glasses|green hair|baseball jacket|metallic purple|-
20|🔴-13|BullMoon #19|5831.8582205116945|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/19|common||hero mask|tweed flat cap|black leather jacket|metallic green|-
21|🟢+426|BullMoon #1663|5775.875|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1663|superrare||golden armor set|golden armor set|golden armor set|denim|golden armor set
22|🔴-17|BullMoon #8|5727.760817914292|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/8|common||night wing mask|robin hood hat|woven sweater|metallic cyan|-
23|🔴-19|BullMoon #174|5349.381818181819|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/174|rare||armored escort set|armored escort set|armored escort set|blue|armored escort set
24|🔴-17|BullMoon #3|5346.070341723816|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/3|common||carnival mask 1|steampunk vintage hat|silver leather jacket|metallic blue|-
25|🔴-13|BullMoon #99|5035.048484848485|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/99|rare||laser safety|lavender hair|clown suit|pink|clown locket
26|🔴-11|BullMoon #4|4888.8582205116945|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/4|common||hero mask|black hair|scotch shirt|basil|-
27|🔴-10|BullMoon #14|4852.117960771435|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/14|common||sci-fi 1|jester hat|hoodie|pale dark green|-
28|🔴-10|BullMoon #15|4717.403675057149|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/15|common||laser safety glasses|spiked biker helmet|iron suit|pink|-
29|🔴-16|BullMoon #9|4574.524887178361|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/9|common||sci-fi 2|safety helmet|business shirt 1|red|-
30|🔴-8|BullMoon #2|4403.070341723816|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/2|common||laser safety glasses|cap 1|tanktop 1|egg|-
30|🔴-10|BullMoon #17|4403.070341723816|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/17|common||sci-fi 3|magenta hair|tanktop 1|egg|-
32|🔴-18|BullMoon #10|4154.915151515152|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/10|rare||ok glasses|jester hat|clown suit|green|clown locket
33|🔴-32|BullMoon #263|4061.3295454545455|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/263|superrare||golden armor set|golden armor set|golden armor set|red|golden armor set
34|🟢+413|BullMoon #1138|3928.016214088941|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1138|rare||color goggle|leather hat|armor set 2|read black|armor set 2
35|🟢+412|BullMoon #1615|3840.581818181818|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1615|rare||sci-fi 3|purple hair|clown suit|green|clown locket
36|🔴-16|BullMoon #5|3837.2703417238154|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/5|common||star fancy glasses|fisherman hat|mountain jacket|metallic lavender|-
37|🔴-12|BullMoon #11|3577.9453417238155|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/11|common||laser safety glasses|army cap|mountain jacket|black|-
38|🔴-22|BullMoon #20|3522.937008390482|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/20|common||carnival mask 1|fisherman hat|silver hoodie|orange|-
39|🔴-17|BullMoon #18|3437.617960771435|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/18|common||sci-fi 1|small horn helmet|scotch shirt|purple|-
40|🔴-16|BullMoon #16|3217.024150596878|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/16|rare||classic glasses|leather hat|full business suit|silver|dollar earring
41|🟢+406|BullMoon #1260|2985.016214088941|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1260|rare||star fancy mask|leather hat|armor set 2|dark orange|armor set 2
41|🟢+406|BullMoon #1452|2985.016214088941|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1452|rare||star fancy mask|leather hat|armor set 2|vivid violet|armor set 2
43|🟡|BullMoon #1855|2973.0218181818177|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1855|rare||-|bunny ears|polo t-shirt|yellow|golf bag
44|🟡|BullMoon #1845|2834.7151515151513|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1845|rare||carnival mask 1|fisherman hat|clown suit|yellow|clown locket
45|🔴-19|BullMoon #133|2483.5797061524336|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/133|rare||classic glasses|leather hat|business suit|peach|dollar earring
46|🟢+401|BullMoon #1325|2419.216214088941|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1325|rare||star fancy glasses|leather hat|armor set 2|fresh green|armor set 2
46|🟢+401|BullMoon #1549|2419.216214088941|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1549|rare||star fancy glasses|leather hat|armor set 2|shocking pink|armor set 2
48|🟢+399|BullMoon #1152|2288.992404565132|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1152|rare||fancy star glasses|leather hat|extra 1|pale navy|jetpack
48|🟢+399|BullMoon #1202|2288.992404565132|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1202|rare||fancy star glasses|leather hat|extra 1|fresh rose|jetpack
48|🟢+399|BullMoon #1405|2288.992404565132|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1405|rare||fancy star glasses|leather hat|extra 1|pastel violet|jetpack
51|🟡|BullMoon #1831|2221.635261707989|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1831|rare||sci-fi 2|leather hat|armored escort set|pink|armored escort set
52|🟢+395|BullMoon #791|2212.52683982684|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/791|rare||sci-fi1|hair|extra 1|red|jetpack
52|🟢+395|BullMoon #853|2212.52683982684|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/853|rare||hero mask|hair|extra 1|dark pale cyan|jetpack
52|🟢+395|BullMoon #1099|2212.52683982684|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1099|rare||hero mask|hair|extra 1|dark pale indigo|jetpack
55|🟢+392|BullMoon #785|2175.78658008658|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/785|rare||sci-fi 1|hair|extra 1|pale rose|jetpack
55|🟢+392|BullMoon #837|2175.78658008658|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/837|rare||sci-fi 1|hair|extra 1|light lavender|jetpack
57|🟢+390|BullMoon #773|2146.1136166863444|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/773|rare||hero mask|leather hat|extra 1|pale cyan green|jetpack
58|🟡|BullMoon #1825|2128.5877705627704|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1825|rare||-|-|-|purple|
59|🟢+388|BullMoon #1062|2109.373356946084|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1062|rare||sci-fi 1|leather hat|extra 1|light pale blue|jetpack
59|🟢+388|BullMoon #1085|2109.373356946084|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1085|rare||sci-fi 1|leather hat|extra 1|lavender|jetpack
61|🟢+386|BullMoon #1662|2108.4370083904823|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1662|common||-|-|-|purple|-
62|🟢+385|BullMoon #861|2108.4294372294376|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/861|rare||night wing mask|hair|extra 1|light indigo|jetpack
62|🟢+385|BullMoon #1218|2108.4294372294376|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1218|rare||night wing mask|hair|extra 1|strong orange|jetpack
