rank|name|score|link|Background|Body|Headgear|Mouse|Glasses
1|CattoPunk #2500|149.6519399999068|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2500|Pink|Violet|Rainbow Cap|Blue|Sunglass
2|CattoPunk #1670|144.4890416053977|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1670|Yellow|Violet|Mcap Black|Vape|3d
3|CattoPunk #3380|144.2775174365315|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3380|Yellow|Violet|Green Hat|Cigarette|Vr-Blue
3|CattoPunk #8986|144.2775174365315|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8986|Yellow|Violet|Green Hat|Cigarette|3d
5|CattoPunk #4787|143.27462000032577|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4787|Green|BlackWhite|Green Hat|Blue|Orange Sunglass
6|CattoPunk #6275|142.14008066114437|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6275|Orange|Zombile|Mcap Black|Blue|Blue Sunglass
7|CattoPunk #8983|138.6984638094306|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8983|Pink|Violet|Rainbow Cap|Blue|None
8|CattoPunk #1712|138.6356215806472|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1712|Green|Violet|Rainbow Cap|Pipe|Sunglass
8|CattoPunk #5869|138.6356215806472|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5869|Blue|Violet|Mcap Black|Pipe|Vr
10|CattoPunk #545|138.63072059996102|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/545|Violet|Violet|Rainbow Cap|Spit|Blue Sunglass
10|CattoPunk #7454|138.63072059996102|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7454|Green|Violet|Mcap Black|Spit|3d
12|CattoPunk #1038|138.1464811400471|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1038|Pink|BlackWhite|Green Hat|Vape|Green Sunglass
12|CattoPunk #8536|138.1464811400471|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8536|Blue|BlackWhite|Green Hat|Vape|Sunglass
14|CattoPunk #6186|138.12633597230473|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6186|Orange|Tri colour|Green Hat|Blue|Green Sunglass
15|CattoPunk #8486|137.63872678669358|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8486|Blue|Ape|Mcap Black|Blue|Vr-Blue
16|CattoPunk #4091|136.9951617931286|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4091|Green|Zombile|Mcap Black|Vape|Vr-Blue
16|CattoPunk #4542|136.9951617931286|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4542|Violet|Black lucky cat|Rainbow Cap|Vape|Vr
18|CattoPunk #4549|136.5339675756304|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4549|Orange|Grey|Green Hat|Blue|Sunglass
19|CattoPunk #8429|135.3862493092161|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8429|Green|Black lucky cat|Rainbow Cap|Red|Vr
19|CattoPunk #9860|135.3862493092161|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9860|Green|Zombile|Rainbow Cap|Red|Yellow Sunglass
21|CattoPunk #8763|134.6354234833903|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8763|Green|Blackbrown|Mcap Black|Blue|Yellow Sunglass
22|CattoPunk #4816|134.4928181205904|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4816|Pink|Violet|Rainbow Cap|Black|Blue Sunglass
23|CattoPunk #296|134.45805858635995|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/296|Yellow|Violet|Mcap Black|Black|Orange Sunglass
24|CattoPunk #1197|132.98141710428897|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1197|Green|Tri colour|Green Hat|Vape|Vr-Blue
24|CattoPunk #6288|132.98141710428897|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6288|Violet|Tri colour|Green Hat|Vape|Violet Sunglass
26|CattoPunk #9685|132.73742323376712|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9685|Yellow|Orange|Green Hat|Blue|Orange Sunglass
27|CattoPunk #3485|132.64083416420561|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3485|Pink|Black lucky cat|Green Hat|Black|Vr-red
27|CattoPunk #4631|132.64083416420561|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4631|Violet|Zombile|Green Hat|Black|Vr-Blue
27|CattoPunk #8808|132.64083416420561|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8808|Green|Black lucky cat|Green Hat|Black|Vr-red
30|CattoPunk #9423|132.63723308370143|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9423|Orange|Zombile|Green Hat|Black|Vr
31|CattoPunk #801|132.49020683817363|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/801|Violet|Ape|Rainbow Cap|Vape|Vr-Blue
31|CattoPunk #2755|132.49020683817363|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2755|Blue|BlackWhite|Mcap Black|Vape|Vr
31|CattoPunk #4943|132.49020683817363|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4943|Violet|BlackWhite|Rainbow Cap|Vape|Green Sunglass
34|CattoPunk #4134|132.27868266930744|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4134|Pink|Ape|Green Hat|Pipe|Yellow Sunglass
34|CattoPunk #6901|132.27868266930744|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6901|Green|BlackWhite|Green Hat|Cigarette|Vr-red
36|CattoPunk #1981|131.38544762711047|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1981|Orange|Black|Green Hat|Vape|Yellow Sunglass
37|CattoPunk #2413|131.12736332238896|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2413|Blue|Zombile|Rainbow Cap|Pipe|Green Sunglass
37|CattoPunk #8916|131.12736332238896|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8916|Blue|Zombile|Mcap Black|Cigarette|Vr
37|CattoPunk #8964|131.12736332238896|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8964|Violet|Black lucky cat|Mcap Black|Pipe|Sunglass
37|CattoPunk #9611|131.12736332238896|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9611|Blue|Zombile|Mcap Black|Cigarette|Violet Sunglass
41|CattoPunk #7228|131.12376224188478|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7228|Orange|Zombile|Rainbow Cap|Pipe|Vr
42|CattoPunk #2376|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2376|Green|Zombile|Mcap Black|Spit|Vr-Blue
42|CattoPunk #4116|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4116|Violet|Black lucky cat|Rainbow Cap|Spit|Sunglass
42|CattoPunk #5021|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5021|Pink|Zombile|Mcap Black|Spit|Blue Sunglass
42|CattoPunk #6134|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6134|Pink|Black lucky cat|Rainbow Cap|Spit|Vr-red
42|CattoPunk #8003|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8003|Violet|Zombile|Mcap Black|Spit|Violet Sunglass
42|CattoPunk #8301|131.12246234170277|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8301|Pink|Zombile|Mcap Black|Spit|Green Sunglass
48|CattoPunk #5800|131.11298487639976|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5800|Yellow|Black lucky cat|Mcap Black|Cigarette|Yellow Sunglass
49|CattoPunk #300|131.10808389571358|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/300|Yellow|Zombile|Mcap Black|Spit|3d
49|CattoPunk #3874|131.10808389571358|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3874|Yellow|Black lucky cat|Mcap Black|Spit|Violet Sunglass
51|CattoPunk #2930|130.88129435426114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2930|Blue|White Lucky Cat|Rainbow Cap|Blue|Vr-Blue
51|CattoPunk #4099|130.88129435426114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4099|Violet|Grey|Rainbow Cap|Blue|Vr-Blue
51|CattoPunk #7047|130.88129435426114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7047|Violet|White Lucky Cat|Mcap Black|Blue|Vr
54|CattoPunk #1382|130.87769327375696|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1382|Orange|White Lucky Cat|Mcap Black|Blue|3d
54|CattoPunk #1504|130.87769327375696|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1504|Orange|BlackWhite|Rainbow Cap|Red|3d
56|CattoPunk #6763|129.92196004696575|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6763|Blue|Alien|Green Hat|Vape|3d
57|CattoPunk #8971|129.89797787822027|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8971|Orange|Alien|Green Hat|Vape|Orange Sunglass
58|CattoPunk #3897|129.86781029528927|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3897|Green|Violet|Green Beret|Vape|Yellow Sunglass
58|CattoPunk #5693|129.86781029528927|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5693|Green|Violet|Green Beret|Vape|Sunglass
60|CattoPunk #7903|129.48690353487035|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7903|Pink|Blackbrown|Rainbow Cap|Vape|Yellow Sunglass
