rank|name|score|link|Background|Spotlight|Particles|Left Hand|Head|Eyes|Mouth|Hairstyle|Right Hand|Outfits
1|Chibism #1925|2278.48805075799|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1925|Pink|Spotlight|Saturn|Paper|Head|Crush|Ecstatic|With Hair Roller Blue|Chill|Oversized Shirt White
2|Chibism #1392|2126.127366791056|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1392|Rainbow|Spotlight|Broken Heart|Grey Lolipop|Head|Ashamed|Smile|With Hair Roller Blue|Chill|Tee And Shirt Pink
3|Chibism #1419|1732.7211029872026|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1419|Orange|Spotlight|Sun Shine|Grey Flower|Head|Inspired|Kuhahaha|Casual Black|Chill|Tee Smile
4|Chibism #1969|1631.7522445049003|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1969|Pink|Spotlight|Saturn|Rock|Head|Crush|Smile|Short Spiky Green|Chill|Tee And Shirt Green
5|Chibism #2443|1628.5238473893917|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2443|Rainbow|Spotlight|Sun Shine|Pink Lolipop|Head|Dumb-founded|Dumb-foundded|Small Pigtails Blonde|Hold|Sweater Swift
6|Chibism #1339|1620.5053212750074|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1339|Rainbow|Spotlight|Sun Shine|Rock|Head|Chill|Irritated|Spiky Green|Hold|Knit Vest Black
7|Chibism #1503|1619.7404789209634|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1503|Purple|Spotlight|Heart|Scissors|Head|Indifferent|Hohoho|Casual Black|Chill|Tshirt Pink
8|Chibism #2372|1560.0568827550144|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2372|Purple|Spotlight|Broken Heart|Rock|Head|Cry|Ecstatic|With Hair Roller Purple|Hold|Knit Vest Cyan
9|Chibism #1343|1516.3793140109485|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1343|Purple|Spotlight|Saturn|Grey Flower|Head|Happy|Irritated|Double Buns Orange|Chill|Tee And Shirt Pink
10|Chibism #1374|1512.9508493134213|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1374|Blue|Spotlight|Heart|Pink Lolipop|Head|Intense|Eh|Small Pigtails Pink|Chill|Knit Vest Green
11|Chibism #1658|1509.7473541148754|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1658|Rainbow|Spotlight|Butterfly|Rock|Head|Aggressive|Kuhahaha|Casual Orange|Chill|Hoodie Tee Brown
12|Chibism #2374|1507.852106841786|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2374|Pink|Spotlight|Butterfly|Scissors|Head|Indifferent|Heh|Casual Orange|Hold|Sweater Yellow
13|Chibism #175|1499.956387749618|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/175|Pink|Spotlight|Heart|Purple Flower|Head|Inspired|Growling|With Hair Roller Purple|Hold|Knit Vest Sharp
14|Chibism #2926|1499.763027623891|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2926|Green|Spotlight|Shiny|Rock|Head|Confused|Smile|Casual Black|Chill|Sweater Yellow
15|Chibism #2665|1483.2287351333418|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2665|Orange|Spotlight|Saturn|Blue Flower|Head|Ashamed|Eh|Highlighted Pink|Hold|Oversized Shirt Blue
16|Chibism #2600|1475.8445278692086|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2600|Purple|Spotlight|Broken Heart|Scissors|Head|Eh|Hohoho|Short Spiky Green|Chill|Tee Cat
17|Chibism #756|1473.0500874790262|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/756|Orange|Spotlight|Shiny|Rock|Head|Chill|Kuhahaha|Double Buns Orange|Chill|Sweater Purple
18|Chibism #898|1453.557729797311|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/898|Orange|Spotlight|Shiny|Scissors|Head|Ashamed|Growling|Spiky Green|Chill|Tshirt Brown
19|Chibism #622|1451.95646388242|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/622|Pink|Spotlight|Music Notes|Paper|Head|Cry|Hohoho|Spiky Green|Chill|Knit Vest Pink
20|Chibism #1898|1430.9726937201478|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1898|Rainbow|Spotlight|Saturn|Paper|Head|Inspired|Paranoid|Short Spiky Green|Hold|Sweater Swift
21|Chibism #1338|1429.5261053849972|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1338|Orange|Spotlight|Music Notes|Scissors|Head|Crush|Dumb-foundded|With Hair Roller Purple|Chill|Sweater Strike
22|Chibism #1209|1425.0134953821898|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1209|Pink|Spotlight|Sun Shine|Scissors|Head|Inspired|Paranoid|Double Buns Orange|Chill|Sweater Strike
23|Chibism #2864|1413.2912739521466|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2864|Rainbow|Spotlight|Shiny|Paper|Head|Cry|Smile|Small Pigtails Blonde|Hold|Sweater Swift
24|Chibism #2531|1412.8281748886532|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2531|Purple|Spotlight|Sun Shine|Paper|Head|Eh|Heh|Small Pigtails Blonde|Chill|Oversized Shirt Purple
25|Chibism #3178|1402.4654999489087|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/3178|Rainbow|Spotlight|Heart|Scissors|Head|Confused|Hohoho|Bowl Cut Blue|Hold|Knit Vest Green
26|Chibism #1413|1391.546302137362|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1413|Green|Spotlight|Shiny|Purple Lolipop|Head|Indifferent|Irritated|Regent Orange|Hold|Tee Smile
27|Chibism #1121|1361.2088432942287|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1121|Purple|Spotlight|Heart|Rock|Head|Indifferent|Eh|Ponytail Bangs Pink|Chill|Tshirt White
28|Chibism #2837|1357.6893102590986|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2837|Pink|Spotlight|Butterfly|Rock|Head|Aggressive|Growling|Casual Orange|Chill|Tee And Shirt Pink
29|Chibism #1141|1335.0658190239817|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1141|Green|Spotlight|Saturn|Pink Lolipop|Head|Aggressive|Growling|Ponytail Bangs Pink|Hold|Knit Vest Pink
30|Chibism #947|1329.133948631783|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/947|Blue|Spotlight|Butterfly|Purple Lolipop|Head|Dumb-founded|Kuhahaha|Regent Purple|Hold|Tee Im Ded
31|Chibism #1247|1302.2538011125537|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1247|Purple|Spotlight|Butterfly|Scissors|Head|Hehehe|Growling|Long Hair Blonde|Chill|Tee Rainy
32|Chibism #2758|1299.8913757340629|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2758|Rainbow|Spotlight|Heart|Purple Flower|Head|Inspired|Heh|Small Pigtails Blue|Hold|Oversized Shirt Purple
33|Chibism #2142|1299.2566163348424|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2142|Rainbow|Spotlight|Heart|Rock|Head|Eh|Ecstatic|Ponytail Bangs Pink|Chill|Knit Vest Yellow
34|Chibism #3249|1294.1451894068864|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/3249|Green|Spotlight|Heart|Rock|Head|Inspired|Dumb-foundded|Long Hair Blonde|Chill|Tee And Shirt Grey
35|Chibism #2585|1275.677402733561|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2585|Rainbow|Spotlight|Shiny|Blue Flower|Head|Indifferent|Growling|Casual Purple|Chill|Sweater Purple
36|Chibism #405|1271.6325988561402|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/405|Rainbow|Spotlight|Butterfly|Grey Flower|Head|Inspired|Growling|Bowl Cut Purple|Hold|Hoodie Tee Deep Blue
37|Chibism #355|1270.3900490882904|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/355|Rainbow|Spotlight|Heart|Grey Flower|Head|Chill|Growling|Casual Purple|Hold|Sweater Green
