rank|name|score|link|Bg|Body|Eye|Earring|Hair|Clothing|Mouth
1|GoblinTownHero #2065|686.370871755066|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2065|Olive|Sky|Round|Envy|GOBGOB|Star Hero|Happy
2|GoblinTownHero #1018|503.25076424240854|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1018|Starry Arctic|Fern|Round|Wrath|Pink Bear|Fern|Star Puke
3|GoblinTownHero #2532|499.9492056132957|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2532|Flora|Pickle|Gazed|Greed|Egg|Multicolor|Grumpy
4|GoblinTownHero #1976|474.7555221820603|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1976|Butter|Sky|Angry|Wrath|Dark Bedhead|Melting|Rainbow Puke
5|GoblinTownHero #3264|472.03214906256966|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3264|Starry Emerald|Fern|Ghost|Wrath|Pink Bear|Star Hero|Gasp
6|GoblinTownHero #2969|467.06341417798404|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2969|Sky|Fern|Ghost|Wrath|Sapling|Star Hero|Goblin
7|GoblinTownHero #2686|466.9093043650814|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2686|Starry Orange|Fern|Gazed|Wrath|Mint Slicked|Cerulean|Tongue Out
8|GoblinTownHero #3136|462.8312663389402|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3136|Coconut|Pickle|Wayfarer|Envy|Star Bucket|Multicolor|Cheeky Smile
9|GoblinTownHero #2741|458.5078199788981|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2741|Starry Orange|Moss|Snake|Wrath|Mint Slicked|Cerulean|Smirk
10|GoblinTownHero #858|454.73023160724847|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/858|Pink|Fern|Round White|Wrath|Blue Sideswept|Fern|Neutral Smile
11|GoblinTownHero #612|447.68168806238083|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/612|Mint|Sky|Angry|Wrath|Mint Slicked|Fire|Neutral Smile
12|GoblinTownHero #2802|439.22776723027965|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2802|Butter|Fern|Angry|Wrath|Mint Slicked|Ether|Grumpy
13|GoblinTownHero #1824|430.6642915493697|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1824|Starry Arctic|Pickle|Wayfarer|Gold Ether|GOBGOB|Armor|Neutral Smile
14|GoblinTownHero #2761|430.2670424265155|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2761|Fire|Pickle|Snake|Greed|Pink Bear|Pistachio|Smirk
15|GoblinTownHero #307|429.60317084257747|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/307|Pink|Crimson|Round White|Sloth|Gold|Sun And Moon|Fang
16|GoblinTownHero #1059|425.03338278736715|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1059|Starry Emerald|Crimson|Cry|Edge|GOBGOB|Lilly|Grumpy
17|GoblinTownHero #1497|424.86085581980603|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1497|Butter|Fern|Neutral|Edge|GOBGOB|Pistachio|Neutral Smile
18|GoblinTownHero #3037|423.8676657227767|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3037|Mint|Moss|Ghost|None|GOBGOB|Ribbon|Rainbow Puke
19|GoblinTownHero #630|423.02011537045|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/630|Rainbow|Moss|Neutral|Greed|Peach Fringe|Lilly|Gasp
20|GoblinTownHero #3020|419.5231336280693|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3020|Butter|Pickle|Snake|Pride|GOB|Ether|Happy
21|GoblinTownHero #1875|417.2732100292238|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1875|Fire|Fern|Sad|Gold Ether|GOBGOB|Honey Cape|Neutral Smile
22|GoblinTownHero #1645|412.81294169668206|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1645|Mint|Fern|Cry|Greed|Egg|Cerulean|Gasp
23|GoblinTownHero #305|411.0320287196387|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/305|Butter|Moss|Snake|Greed|Lemon Trapperer|Pistachio|Grumpy
24|GoblinTownHero #1682|409.16509119947654|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1682|Sky|Fern|Wayfarer|Greed|Boat|Melting|Cheeky Smile
25|GoblinTownHero #3039|404.946440756418|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3039|Olive|Sky|Neutral|Greed|Egg|Carrot|Tongue Out
26|GoblinTownHero #2926|401.0916844983278|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2926|Starry Arctic|Sky|Snake|None|GOBGOB|Lilly|Happy
27|GoblinTownHero #342|400.14424623822777|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/342|Coconut|Moss|Cry|Greed|Afro|Ribbon|Smirk
28|GoblinTownHero #2029|399.0355433017437|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2029|Sky|Crimson|Neutral|Envy|Wizard|Hero Cape|Drowsy
29|GoblinTownHero #898|398.1633548360957|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/898|Sky|Pickle|Neutral|Greed|Green Robin|Ether|Neutral Smile
30|GoblinTownHero #1672|392.108286477331|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1672|Salmon|Pickle|Angry|Greed|Egg|Lilly|Neutral Smile
31|GoblinTownHero #1849|392.09858046462574|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1849|Starry Orange|Fern|Angry|None|GOBGOB|Lilly|Happy
32|GoblinTownHero #2516|389.5199572438475|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2516|Butter|Moss|Neutral|Envy|Gold|Rock|Neutral Smile
33|GoblinTownHero #2755|389.2689087738929|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2755|Flora|Moss|Cry|Greed|Blue Braids|Ether|Happy
34|GoblinTownHero #2738|389.2617692116389|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2738|Butter|Pickle|Ghost|None|GOBGOB|Fire|Grumpy
35|GoblinTownHero #822|386.12359870428736|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/822|Butter|Moss|Angry|None|GOBGOB|Fern|Smirk
36|GoblinTownHero #2369|385.4797362439723|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2369|Starry Emerald|Moss|8BIT|Envy|Cat|Lilly|Neutral Smile
