rank|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
1|Holo Mask : Gold #1169|881.5899605093153|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1169|Sunshine|Willow|Kayden|Nina|Declan Gold|Adam Gold
2|Holo Mask : Gold #67|814.5131381381382|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/67|Trey|Willow|Jose|Merlie|Gavin Gold|Levi Gold
3|Holo Mask : Gold #611|640.2670921782367|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/611|Vince|Brooklyn|Vincent 6|Mabel|Braxton Gold|Eli Gold
4|Holo Mask : Gold #908|632.2269382268541|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/908|Sunshine|Hazel|Luca|Ocie|Bentley Gold|Sebastian Gold
5|Holo Mask : Gold #637|627.6830080941526|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/637|Vince|Addison|Kayden|Mila|Declan Gold|Isaiah Gold
6|Holo Mask : Gold #317|625.9072765637237|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/317|Sunshine|Zoey|Vincent 1|Laura|Kingston Gold|Alexander Gold
7|Holo Mask : Gold #1070|620.4635349635349|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1070|Sky|Avery|Jason|Merlie|Declan Gold|Leo Gold
8|Holo Mask : Gold #592|614.7812223798669|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/592|Vince|Aria|Vincent 4|Nilda|Chase Gold|Benjamin Gold
9|Holo Mask : Gold #479|614.1823412698413|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/479|Sky|Ava|Axel|Liana|Luis Gold|Mason Gold
10|Holo Mask : Gold #896|614.1361330941527|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/896|Vince|Mila|Parker|Lainey|Declan Gold|Logan Gold
11|Holo Mask : Gold #288|614.0337234555984|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/288|Trey|Madelyn|Vincent 5|Laura|George Gold|Christopher Gold
12|Holo Mask : Gold #984|613.9407904588516|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/984|Irvin|Samantha|Micah|Mila|Emmett Gold|Jeremiah Gold
13|Holo Mask : Gold #604|613.7160218253969|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/604|Trey|Grace|Vincent 6|Laila|Cole Gold|Hudson Gold
14|Holo Mask : Gold #503|613.0030284043441|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/503|Trey|Madison|Vincent 2|Malia|Harrison Gold|Ryan Gold
15|Holo Mask : Gold #62|605.2408756265664|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/62|Owen|Anna|Vincent 2|Laura|Ayden Gold|Liam Gold
16|Holo Mask : Gold #1149|600.4064809771517|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1149|Sunshine|Aurora|Vincent 4|Merlie|Ryker Gole|Mason Gold
17|Holo Mask : Gold #1411|597.1223900680607|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1411|Sunshine|Aubrey|Parker|Naya|Emmett Gold|Mason Gold
18|Holo Mask : Gold #572|594.0826033243485|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/572|Irvin|Stella|Luca|Kylie|Silas Gold|Connor Gold
