rank|name|score|link|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style
1|Genesis Kami #2378|1383.1555743745487|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2378|Immortal okane mochi|Red scythe|White|Green angry eyes|Blue cape|Gold spear|Smirk|Gold opera kamen|Red ikemen|White baphomet horn|present
2|Genesis Kami #6|1383.1208990978835|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/6|Chocolate black red thunder|Silver buster sword|White|Black determined|Purple black hood|Gold double long right|Smile|Gold anti toxic mask|Mint shonen|Sadly mask|present
3|Genesis Kami #3946|1289.0683136642765|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3946|Immortal galaxy sakura|Purple scythe|White|Yellow gangsta|Black wing angel|Gold short long|Neutral|Purple shadow mask|Purple disheveled|Black satan horn|fantasy
4|Genesis Kami #627|1247.4533619795602|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/627|Sandstone|Katana 2|White|Black strained|White black kimono|Black white fluffy|Smile with teeth|White oni mask|White wuxia|Black baby cat|ancient
5|Genesis Kami #2297|1222.0866712605186|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2297|Spruce blue kiminari|Berserker blade|White|Sky blue strained|White gold pimp|Silver ring 1|Smirk|Brown sunglasses|Gold kpop 1|Wizard hat|present
6|Genesis Kami #5525|1215.2479710149532|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5525|Immortal black god feather aura|None|Gray|Black determined|White wing angel|Gold double ring right 2|Haha|Purple shadow mask|Brown disheveled|Gold purple imperial crown|fantasy
7|Genesis Kami #2187|1184.722754068656|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2187|Shadow|Katana 2|Titanium|Sky blue aggressive|White ninja|Black red kss hanafuda|Angry|White oni mask|Black cornrow braids|Kitsune mask|ancient
8|Genesis Kami #1137|1184.302063696867|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1137|Slate red fire ghost|Berserker blade|Brown|Sky blue strained|Gold kimono|Silver short long|Smile|White oni mask|Red madara|Kitsune mask|ancient
9|Genesis Kami #2858|1177.2386078375775|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2858|Hazel wood dry leaves|Katana 1|Cream|Green demon|Black gakuran|Gold triple ring right|Smirk|Gold anti toxic mask|Mint disheveled|Gold red imperial crown s|present
10|Genesis Kami #1485|1162.0603925226496|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1485|Oat maple leaf|Brush|Brown|Purple strained|Gray fur|Gold ring 2|Green gum|None|Gold japan bangs|White baphomet horn|present
11|Genesis Kami #2368|1154.3874394394504|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2368|Immortal okane mochi|None|White|Gray demon|Red gakuran|Gold ring 1|Mild smile|Blue anti toxic mask|Gold cornrow braids|None|present
12|Genesis Kami #599|1142.9473021698786|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/599|Blush|Gold berserker|Cream|Purple cold|Bondage pharoh|Silver ring 3|Angry|Purple shadow mask|Gray wuxia|Gold sky blue imperial crown|fantasy
13|Genesis Kami #1073|1140.0905670918728|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1073|Lavender|Red scythe|Cream|Red good boy|Blue hood|Silver dot|Angry|Brown pirate eyepatch|Gray wuxia|White satan horn|present
14|Genesis Kami #1796|1137.1470309849296|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1796|Oat maple leaf|None|Cream|Black grievous|Red gangster suit|Silver ring 3|Haha|Anti toxic mask|White harajuku|White minotaur horn|present
15|Genesis Kami #4421|1123.9436010171707|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4421|Mahogany|Berserker blade|Gray|Yellow determined|Black onmyoji|Purple black fluffy|Angry|White oni mask|White long hair|White baby cat|ancient
16|Genesis Kami #5214|1117.4989360307743|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5214|Rosewood|None|Brown|Red aggressive|Black gakuran|Silver double long right|Smile|Gold anti toxic mask|Purple cornrow braids|White baby cat|present
17|Genesis Kami #2355|1103.7027476598284|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2355|Immortal okane mochi|Red scythe|Brown|White aggressive|Black silver pimp|None|White rose|Red mekakushi|Black wuxia|Smile mask|present
18|Genesis Kami #1466|1098.4682157562922|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1466|Shadow|Katana 2|Cream|White grievous|Red white kimono|Gold double long right|Smile|White oni mask|Red cornrow braids|None|ancient
19|Genesis Kami #4802|1094.034469336777|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4802|Sky|None|White|White gangsta|Black white purple kimono|White black fluffy|Smile with teeth|White oni mask|White slick hair|White baby cat|ancient
20|Genesis Kami #4000|1093.7591530976615|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4000|Immortal okane mochi|None|Cream|Pink angry eyes|Purple turtle|Gold ring 2|Gritted|None|Mint long hair|White minotaur horn|present
21|Genesis Kami #2381|1091.9041292888453|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2381|Hickory|Katana 1|Gray|Black strained|White priest|Red black fluffy|Smile with teeth|White oni mask|Mint shonen|Brownish orange cat ears|ancient
22|Genesis Kami #1334|1088.9937673528366|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1334|Chocolate black red thunder|Gray scythe|White|Red good boy|Black gakuran|Gold dot|Angry|Black mekakushi|Gold kpop 1|White baby cat|present
23|Genesis Kami #4385|1078.3625679031634|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4385|Teal kase|Katana 1|Brown|Purple cold|Black silver samurai|Silver four ring right|Haha|Mask gangster|Gray kpop 1|Black baby dragon|ancient
24|Genesis Kami #2575|1075.968618928615|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2575|Immortal okane mochi|None|White|Purple gentle|Red turtle|Silver double ring right 1|Gritted|Blue sunglasses|Black cornrow braids|Joker mask|present
25|Genesis Kami #4296|1074.8151379776518|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4296|Olive|Purple scythe|White|Sky blue determined|White gakuran|Silver chain|Mild smile|Gold anti toxic mask|Purple madara|Black kitsune ears|present
26|Genesis Kami #5191|1074.2692150864907|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5191|Red fire|None|White|White strained|Purple ninja|Silver double ring right 1|Neutral|White oni mask|Mint disheveled|Gray tengu|ancient
27|Genesis Kami #1748|1072.9847024153232|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1748|Rosewood|Red wand|White|Black cold|White father|Gold double ring right 1|Haha|Blue anti toxic mask|Red cornrow braids|White satan horn|present
28|Genesis Kami #121|1068.8927967087957|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/121|Oat|None|Black|Red gentle|Brown turtle|Silver skull|Mild smile|Brown pirate eyepatch|Purple madara|White satan horn|present
29|Genesis Kami #4634|1057.0354342178941|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4634|Chocolate maple leaf|None|Cream|Black determined|Red biker jacket|Silver double ring right 2|Smirk|Doctor glasses|Red shonen|Wizard hat|present
30|Genesis Kami #100|1055.3971286220158|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/100|Mahogany|Silver berserker|White|Green gentle|Blue cyberpunk suit|White feather|Neutral|Purple shadow mask|Mint nippon|Black minotaur horn|fantasy
31|Genesis Kami #3515|1054.5568540131987|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3515|Coin black red thunder|Gray scythe|White|Red gangsta|Black gangster suit|Gold chain|Neutral|Gold anti toxic mask|Brown shonen|Horror mask|present
32|Genesis Kami #552|1051.9447876088816|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/552|Flint|Brush|Cream|Red gentle|Red onmyoji|Red black fluffy|Angry|White oni mask|Gold nippon|Oni mask|ancient
33|Genesis Kami #4603|1051.6302961402757|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4603|Black fire|Purple wand|Black|Green demon|Black turtle|Gold double ring right 2|Rose|Bandage cheek & nose|Purple ikemen|White baphomet horn|present
34|Genesis Kami #5360|1050.665329851075|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5360|Mahogany|Gray scythe|Cream|Yellow aggressive|Purple lord|Gold spear|Angry|Purple shadow mask|Brownish orange under cut|Gold red imperial crown|fantasy
35|Genesis Kami #4459|1049.9186623059531|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4459|Slate blue fire ghost|Purple scythe|Gray|Purple gentle|White black clown|Silver ring 2|Smile|Red shadow mask|Gray wuxia|Red devil horn|fantasy
36|Genesis Kami #470|1047.3567985018763|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/470|Cyberpunk system|None|Cream|Red aggressive|Purple tribal|Gold double ring right 1|Angry|Purple shadow mask|White nippon|White devil horn|fantasy
37|Genesis Kami #2169|1043.2041673430194|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2169|Chocolate black red thunder|Red wand|Gray|Yellow gentle|Blue biker jacket|Silver ring 3|Angry|Megane|Brown disheveled|Gray baby cat|present
38|Genesis Kami #3975|1040.5121325266764|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3975|Chocolate maple leaf|Gold buster sword|Gray|Red determined|Purple cape|Silver double ring right 1|Neutral|Red anti toxic mask|Brown nippon|None|present
39|Genesis Kami #4631|1037.9923243236572|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4631|Pewter|None|Cream|Green gentle|White silver pimp|Gold double ring right 2|Angry|Green anti toxic mask|Gray kpop 1|Silver red imperial crown s|present
40|Genesis Kami #2974|1034.9336851794797|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2974|Chocolate black red thunder|None|White|Green determined|Purple cape|Silver skull|Angry|Blue cyberpunk glasses|Gold kpop 1|Horror mask|present
41|Genesis Kami #77|1030.401665685763|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/77|Flint black purple thunder|Spear|Cream|Purple grievous|Brown turtle|Silver spear|Mild smile|Houtai nose|Mint long hair|White baphomet horn|present
42|Genesis Kami #4694|1028.4718458560242|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4694|Hazelnut|Katana 1|White|Black determined|White fur|Gold short long|Neutral|Houtai cheek|White long hair|White baphomet horn|present
43|Genesis Kami #1682|1027.9080084966772|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1682|Sky|Purple scythe|Gray|Red vampire|Black gold pimp|Silver ring 1|Smirk|Bandage cheek|White long hair|White baphomet horn|present
44|Genesis Kami #3714|1027.3015987098477|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3714|Red fire|Brush|Cream|Yellow gentle|Black gold pimp|Gold ring 2|Mild smile|Green cyberpunk glasses|Purple cornrow braids|Wizard hat|present
45|Genesis Kami #1433|1009.4774220166355|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1433|Lavender|Berserker blade|Brown|Green gangsta|Red biker jacket|White feather|Angry|Black pirate eyepatch|Brownish orange cornrow braids|Wizard hat|present
46|Genesis Kami #4610|1009.1214931203692|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4610|Silver|Red wand|White|White angry eyes|Bondage pharoh|Black feather|Smile|Purple shadow mask|Brown disheveled|Gold red imperial crown|fantasy
47|Genesis Kami #1085|1008.9533618383743|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1085|Blush|Red wand|White|Yellow aggressive|Pharoh|Silver double ring right 2|Mild smile|Purple shadow mask|Brownish orange slick hair|None|fantasy
48|Genesis Kami #2331|1003.2257422263197|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2331|Chocolate maple leaf|Katana 2|Cream|White strained|Black turtle|Silver ring 2|Angry|Green anti toxic mask|White madara|None|present
49|Genesis Kami #4719|998.135092758279|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4719|Wood|Red scythe|Titanium|Green determined|Black gold pimp|White feather|Haha|White kamen|Mint nippon|White baphomet horn|present
50|Genesis Kami #2844|997.4381430848073|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2844|Hickory|Gold buster sword|White|White angry eyes|Jacket hood|Black spear|Haha|Green anti toxic mask|White under cut|Black baby cat|present
51|Genesis Kami #5467|993.7298265691387|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5467|Flint|None|Black|Black vampire|Red gakuran|Sky blue feather|Neutral|Gold anti toxic mask|Purple long hair|Horror mask|present
52|Genesis Kami #4312|993.3426976108221|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4312|Slate blue fire ghost|None|Cream|Purple strained|Red turtle|Silver skull|Smile|Gold anti toxic mask|Black shonen|None|present
53|Genesis Kami #3771|993.2539402556661|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3771|Pistachio fresh leaves|Red wand|Cream|Pink gentle|Black hood|Silver double ring right 2|Smile with teeth|Blue anti toxic mask|Brown kpop 1|None|present
54|Genesis Kami #2911|991.372217384753|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2911|Oat grass flower|Purple scythe|White|Purple angry eyes|Red fur|Gold triple ring right|Neutral|Red anti toxic mask|Red harajuku|Black cat ears|present
55|Genesis Kami #1629|986.3065132432604|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1629|Immortal coin dark feather aura|Purple wand|Gray|White strained|Black hood|Gold ring 1|Smile|Bandage cheek & nose|Gray oppa|White satan horn|present
56|Genesis Kami #5257|984.6266832440402|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5257|Chocolate black red thunder|None|White|Sky blue good boy|Purple gangster suit|Silver four ring right|Haha|Brown sunglasses|Gray under cut|None|present
57|Genesis Kami #5333|984.559538392953|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5333|Hazelnut|None|White|Pink gentle|Red gangster suit|Silver double long right|Smile|Bandage cheek|Gold slick hair|White baphomet horn|present
58|Genesis Kami #336|982.1483768029505|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/336|Porpoise|Gray scythe|Cream|Pink gentle|Red father|Silver short long|Smile with teeth|Purple shadow mask|Brownish orange disheveled|Gold sky blue imperial crown|fantasy
59|Genesis Kami #772|981.2568659062099|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/772|Immortal black god feather aura|Gray scythe|Cream|Pink gentle|Black hood|Silver double long right|Blue gum|Brown sunglasses|Gray kpop 1|Gold red imperial crown s|present
60|Genesis Kami #537|980.3803168536273|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/537|Cyberpunk system|None|Black|Purple strained|Brown turtle|Silver double ring right 1|Blue gum|Black opera kamen|Mint slick hair|Wizard hat|present
61|Genesis Kami #2642|979.5950400792029|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2642|Slate purple fire ghost|Brush|Cream|Pink gangsta|Black turtle|Gold spear|Smile with teeth|Green anti toxic mask|Black madara|Black kitsune ears|present
62|Genesis Kami #321|979.4942152575416|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/321|Colud blue kaminari|None|Brown|Pink good boy|Black gold pimp|Gold triple ring right|Smile|Red anti toxic mask|Purple under cut|White devil horn|present
63|Genesis Kami #306|978.7314493381217|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/306|Chocolate black red thunder|Purple wand|Cream|Black strained|Blue biker jacket|Gold double ring right 2|Blue gum|Houtai cheek|White oppa|White magic hat|present
64|Genesis Kami #5527|977.6032425483934|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5527|Cyberpunk system|None|Gray|Yellow aggressive|Black hood|Silver dot|Gritted|Green anti toxic mask|Purple madara|Black baby dragon|present
65|Genesis Kami #327|975.2528168549163|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/327|Chocolate black red thunder|Brush|White|White angry eyes|Blue gangster suit|Silver spear|Neutral|Houtai cheek & nose|Brownish orange cornrow braids|Gold sky blue imperial crown s|present
66|Genesis Kami #5302|973.9965214066281|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5302|Oat|Spear|White|Red cold|Purple gangster suit|Silver skull|Smile with teeth|None|Purple disheveled|White baphomet horn|present
67|Genesis Kami #3353|973.008685279472|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3353|Seaweed|None|White|Purple strained|Red cape|None|Mild smile|Black demon mask|Mint oppa|Wizard hat|present
68|Genesis Kami #5245|968.6213771226533|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5245|Lavender|Red wand|Brown|Green grievous|Purple white hood|Gold dot|Gritted|Gold anti toxic mask|Brown ikemen|Black kitsune ears|present
69|Genesis Kami #1937|968.4295706624501|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1937|Hazulnut grass flower|Brush|Cream|Pink gentle|Purple white hood|nail|Green gum|Green cyberpunk glasses|White madara|Angry mask|present
70|Genesis Kami #3843|968.0348484562816|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3843|Immortal galaxy sakura|Purple wand|Titanium|Yellow strained|Purple gakuran|Gold ring 2|Haha|Round glasses big|Red wuxia|White cat ears|present
71|Genesis Kami #1077|965.9658064988956|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1077|Porpoise white purple|Silver berserker|Black|Yellow determined|Purple tribal|Silver four ring right|Mild smile|Red shadow mask|Mint wuxia|Gold purple imperial crown|fantasy
72|Genesis Kami #750|965.0544413410428|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/750|Pine|Red wand|Gray|Green determined|Gray fur|Gold double long right|Smirk|Houtai cheek|Purple slick hair|Wizard hat|present
73|Genesis Kami #1445|962.4857434215651|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1445|Fossil red fire ghost|Gray scythe|White|Sky blue good boy|Red tribal|Silver double long right|Mild smile|Red shadow mask|Brownish orange harajuku|Gold minotaur horn|fantasy
74|Genesis Kami #2854|961.5576278919733|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2854|Umber|None|White|Pink gentle|Gray turtle|Sky blue feather|Mild smile|Blue sunglasses|Red wuxia|Black mafia hat|present
75|Genesis Kami #1353|959.2808264854573|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1353|Immortal okane mochi|Red wand|Brown|Sky blue angry eyes|Purple black hood|Silver double long right|Neutral|White demon mask|White slick hair|Black cat ears|present
76|Genesis Kami #4197|956.2773765431248|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4197|Shadow|None|White|Black grievous|Brown turtle|Silver skull|Mild smile|Red anti toxic mask|Mint under cut|Gold red imperial crown s|present
