rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
1|🔵|Nerd Ape Dao #55|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/55|Fire Nerd|||||
1|🔵|Nerd Ape Dao #281|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/281|Cyber Nerd|||||
1|🔵|Nerd Ape Dao #649|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/649|Wukong Nerd|||||
1|🔵|Nerd Ape Dao #892|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/892|Cosmic Nerd|||||
1|🔵|Nerd Ape Dao #1299|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1299|Lightning Nerd|||||
6|🔵|Nerd Ape Dao #1221|277.5650664320732|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1221|Gray|Dark brown|Stripedtee|Half Robot|Biker helmet|Tongue_out
7|🟢+1|Nerd Ape Dao #1102|266.2547055633403|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1102|Gray|Tiger|Lab|Oneeye|Propeller cap|Close
8|🟢+1|Nerd Ape Dao #488|265.1084701189055|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/488|Gray|Black|White shirt ribbon|Solar_beam|Biker helmet|Tongue_out
9|🔴-2|Nerd Ape Dao #777|264.43764881020275|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/777|Light purple|Water|Banana hawaii|Shy|Brown camping hat|Cigarette
10|🔵|Nerd Ape Dao #149|258.6838646668919|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/149|Gray|Pink|Lab|Square|Blue cap|Burger
11|🔵|Nerd Ape Dao #1371|250.6703286106553|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1371|Gray|Black|Black turtleneck|Red Cat|Fastfood|Open
12|🔵|Nerd Ape Dao #888|247.31980923245777|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/888|Gray|Cream|Pink fur|Wide_eyes|None|Tongue_out
13|🟢+1|Nerd Ape Dao #1387|245.6157601139327|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1387|Light green|Gray|Banana hawaii|Fasion|Newsboy cap|Pipe
14|🔴-1|Nerd Ape Dao #804|243.1292112698349|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/804|Yellow|Cream|Blue vest|Red|Brown camping hat|Candy
15|🟢+2|Nerd Ape Dao #971|242.51741349711273|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/971|Gray|Cream|Brown jacket|Angry|White bucket hat|Smile
16|🔴-1|Nerd Ape Dao #142|242.35327923158087|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/142|Light purple|Red|White shirt ribbon|Eyepatch|Brown camping hat|420
17|🔴-1|Nerd Ape Dao #847|240.10266190278824|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/847|Red|Tiger|Red singlet|Glasses|Brown camping hat|Cigar
18|🔵|Nerd Ape Dao #339|239.97605048797848|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/339|Gray|Cream|Sheriff|X|Gold hair|Sneaky
19|🔵|Nerd Ape Dao #661|237.6265361842342|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/661|Light green|White|Flower Hawaii|Square|Staw hat|Close
20|🔵|Nerd Ape Dao #500|237.03658777593688|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/500|Gray|Robot|Green jacket|Red|Green beret|Close
21|🔵|Nerd Ape Dao #1341|231.61373758746257|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1341|Yellow|Pink|White shirt ribbon|Square|Brown camping hat|Grin
22|🟢+2|Nerd Ape Dao #277|230.4797898006857|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/277|Light green|Red|Black tee|Hearteye|Fastfood|Tongue_out
23|🟢+3|Nerd Ape Dao #283|229.7969989075252|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/283|Gray|Pink|Black hoodie|Black Nerd|Rose headscarf|Candy
24|🔴-2|Nerd Ape Dao #619|229.3930227967018|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/619|Beige|Gray|White singlet|ETH|Brown camping hat|Smile
25|🟢+2|Nerd Ape Dao #1164|229.0441109242644|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1164|Light green|Tiger|Green jacket|Heart|Rasta hat|Sneaky
26|🟢+2|Nerd Ape Dao #431|228.18463950612167|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/431|Gray|Cream|White fur|Heart|Blue headscarf|Gum
27|🔴-4|Nerd Ape Dao #1112|227.89451023512663|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1112|Red|Pink|Rasta hawaii|Oneeye|Brown camping hat|Smile
