rank|name|score|link|Background|Body|Tattoo|Nose|Mouth|Eyes|On eyes|Clothes|Accessorie|Head|Smokes
1|Oliens #1089|1253.8004752774866|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1088|bloody wall |light skin |will i ever go home tattoo |big fat nose |wondering mouth |sus eyes||black suit |bitcoin necklce|marron cowboy hat |
2|Oliens #1440|1203.3767550359316|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1439|bloody wall |gray bluish ||nose2 |wide mouth|bored eyes ||naked ||long braid ginger|
3|Oliens #1909|685.3277546792507|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1908|jungle |pale lime yellow ||big fat nose |wild mouth |cucumber mask ||deep pink cowboy shirt ||black robe and dark sing |
4|Oliens #709|635.1611147393347|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/708|haha |green ||Onose |closed mouth |bored eyes |sun glasses |pink bathrobe ||black robe and dark sing |
5|Oliens #1339|626.2642950840368|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1338|dark purple back |bunrt umber ||Onose |small lips|cucumber mask ||purple and green shirt |gold ring|short hair |
6|Oliens #930|535.6212468764219|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/929|haha |baby blue ||Onose |wild mouth |bruised eye |purple fire glasses |blue bathrobe ||red long hair|
7|Oliens #1538|508.0963824331995|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1537|letters |raw umber ||Onose |wondering mouth |Oeyes ||purple vintage shirt ||marron cowboy hat |cigarette 
8|Oliens #988|506.73159830708755|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/987|light blue |light gray ||nose2 |wild mouth |cucumber mask ||blue bathrobe |silver ring |bald |cigarette 
9|Oliens #323|500.59941259076965|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/322|letters |light lime yellow ||wierd nose |closed mouth |tierd eyes sinning ||black Tshirt |bitcoin necklce|braid unicorn |
10|Oliens #1683|498.33920162314075|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1682|shades of blue |sky blue body ||bignose |closed mouth |bruised eye ||decolte ||red cap hat |cigarette 
11|Oliens #1252|494.28354873879397|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1251|burnning man |light lime yellow ||nose2 |open mouth |bored eyes |sun glasses |triditional robe ||egyptian|
12|Oliens #1377|491.1108527040864|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1376|letters |sky blue body ||nose2 |closed mouth |Oeyes shiny ||green suit ||oxblood cowboyhat |blunt 
13|Oliens #964|488.57865377300396|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/963|mushroom cloud |sun burn white skin ||funny nose |closed mouth |punky eyes ||jedi robe |silver ring |cap |
14|Oliens #2212|486.041918255267|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2211|glittery night sky |baby blue ||nose2 |wide mouth|tierd eyes sinning |pink fire glaasses |decolte |bitcoin necklce|black long hair |
15|Oliens #2191|482.6400159189567|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2190|letters |pale lime yellow ||big fat nose |wide mouth|tierd eyes ||blue suit |gold ring|braid unicorn |
16|Oliens #542|481.6150798182485|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/541|orange to purple |bunrt umber ||Onose |small lips|bored eyes ||decolte |silver ring |white long hair |
17|Oliens #986|480.9370274902253|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/985|desert night |light virdian ||funny nose |wide mouth|cucumber mask |sun glasses |naked ||bald |
18|Oliens #1495|471.062036096588|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1494|letters |sky blue body ||Onose |wide mouth|bored eyes |sun glasses |green suit ||bald |blunt 
19|Oliens #89|470.3340306776951|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/88|ice latte back |light skin ||bignose |wide mouth|cucumber mask ||black suit ||bald |
20|Oliens #690|460.62027141871414|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/689|red drapes |light gray ||funny nose |wide mouth|cucumber mask ||blue Tshirt ||bald |
21|Oliens #1839|460.51527425385046|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1838|pink to blue |light gray ||nose2 |small lips|cool eyes |purple fire glasses |simple gray vintage shirt ||rice hat |
22|Oliens #2185|449.60598383199635|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2184|purple back |baby blue ||wierd nose |wide mouth|tierd eyes sinning ||decolte ||cap hat |
23|Oliens #2171|445.56185516742227|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2170|orange to purple |green ||wierd nose |wondering mouth |tierd eyes ||pink shirt with a line ||rice hat |
24|Oliens #1589|445.36087086582205|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1588|haha |pink |will i ever go home tattoo |Onose |small lips|tierd eyes ||orange vintage shirt ||braid black|
25|Oliens #1439|441.27041743564956|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1438|black and purple |pink ||nose2 |wild mouth |joker eyes ||red suit ||head band |
26|Oliens #64|440.40936576627365|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/63|burnning man |sky blue body ||big fat nose |wide mouth|cute eyes ||decolte ||short hair |blunt 
27|Oliens #1057|438.76291621802693|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1056|wormhole |light virdian ||big fat nose |wild mouth |Oeyes shiny ||cowboy shirt vintage ||rice hat |blunt 
28|Oliens #877|437.0585724211995|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/876|pizza planet |green ||big fat nose |wondering mouth |bruised eye ||red Tshirt |gold ring|head band |
29|Oliens #2002|435.54015473694255|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2001|letters |light virdian ||nose2 |wondering mouth |sus eyes||under shirt ||oxblood cowboyhat |
30|Oliens #1308|432.41801040282536|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1307|ice latte back |light skin ||funny nose |joker mouth|bruised eye ||black suit & red tie ||braid black|
31|Oliens #613|430.16419440280316|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/612|haha |bunrt umber ||funny nose |closed mouth |bored eyes ||naked ||mohak|blunt 
32|Oliens #1134|426.2967592117554|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1133|shades of gray |baby blue ||wierd nose |wide mouth|punky eyes ||blue Tshirt ||rice hat |cigarette 
33|Oliens #49|422.20827119580605|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/48|haha |gray bluish ||big fat nose |wide mouth|sus eyes||green vintage shirt ||short wavy hair |
34|Oliens #193|421.3831643000475|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/192|haha |green ||bignose |wild mouth |tierd eyes sinning ||deep green vintage shirt ||short hair |cigarette 
35|Oliens #759|421.2158933224035|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/758|orange to purple |light virdian |will i ever go home tattoo |nose2 |wondering mouth |tierd eyes ||purple vintage shirt |gold ring|egyptian|
