_rank|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
1|Sobta Magic #272|838.5|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/272|Epic - Magic Cafe||||NUMBERS GANGSTER|||||NUMBERS GANGSTER|
2|Sobta Magic #482|791.9166666666667|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/482|Epic - Magic Cafe||||Grekka|||||Grekka|
3|Sobta Magic #189|733.6875|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/189|Epic - Magic Cafe||||Alpha|||||Titan Cyborg|
4|Sobta Magic #532|725.4102216944551|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/532|Rare - Earth|Normal|None|Plaster|Little Magic School|Brown Spiky|Wafer Roll|Sci-Fi Suit|Honey Skin||Bunching Onion
5|Sobta Magic #210|723.054347826087|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/210|Epic - Magic Cafe||||Jojo|||||Monkey King|
6|Sobta Magic #399|714.9127717714227|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/399|Rare - Day Dream|Happy|None|Tattoo|HUUYAOW|Red Helmet|Strawberry Stick|School Uniform|Espresso Skin||Nature Staff
7|Sobta Magic #205|485.89668183916746|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/205|Rare - Morest|Surprised|Scounter|None|YOKEiTO|Blue Helmet|Wafer Roll|Pink Overalls|Fire Cyborg||Baseball Bat
8|Sobta Magic #442|459.148343436401|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/442|Rare - Night Dream|Bored|None|Star Sticker|Analog Doll|Blonde Palm Tree|O Mouth|Sci-Fi Suit|Aqua Mutant||Fountain Pen
9|Sobta Magic #317|453.8454157845668|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/317|Rare - Night Dream|Surprised|None|Star Sticker|Alpaca Chill|White Bubble|Grin|Docter Suit|Espresso Skin||Carrot
10|Sobta Magic #555|441.9376525044188|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/555|Rare - Earth|Normal|None|None|Alpaca Chill|Black Bucket Hat|Lollipop|Black Overalls|Fire Cyborg||Wrench
