_rank|📈|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
1|🔵|Sobta Magic #272|1067.95|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/272|Epic - Magic Cafe||||NUMBERS GANGSTER|||||NUMBERS GANGSTER|
1|🟡|Sobta Magic #759|1067.95|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/759|Epic - Magic Cafe||||YOKEiTO|||||YOKEiTO|
3|🔴-1|Sobta Magic #482|1021.8928571428571|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/482|Epic - Magic Cafe||||Grekka|||||Grekka|
3|🟡|Sobta Magic #738|1021.8928571428571|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/738|Epic - Magic Cafe||||Little Magic School|||||Little Magic School|
5|🟢+1|Sobta Magic #399|966.0687681588498|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/399|Rare - Day Dream|Happy|None|Tattoo|HUUYAOW|Red Helmet|Strawberry Stick|School Uniform|Espresso Skin||Nature Staff
6|🔴-3|Sobta Magic #189|940.3333333333334|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/189|Epic - Magic Cafe||||Alpha|||||Titan Cyborg|
7|🟡|Sobta Magic #805|937.75|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/805|Epic - Magic Cafe||||Miw Miw|||||Galaxy Traveller|
8|🟡|Sobta Magic #631|935.5357142857142|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/631|Epic - Magic Cafe||||Florae|||||World Tree|
9|🔴-4|Sobta Magic #210|933.6166666666667|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/210|Epic - Magic Cafe||||Jojo|||||Monkey King|
10|🔴-2|Sobta Magic #442|576.3786344497299|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/442|Rare - Night Dream|Bored|None|Star Sticker|Analog Doll|Blonde Palm Tree|O Mouth|Sci-Fi Suit|Aqua Mutant||Fountain Pen
11|🟢+1|Sobta Magic #288|540.9508061986322|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/288|Rare - Earth|Fascinated|Heart Glasses|None|Analog Doll|Black Comma|Triangle|Barista Suit|Honey Skin||Wrench
12|🔴-3|Sobta Magic #317|372.5774062668453|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/317|Rare - Night Dream|Surprised|None|Star Sticker|Alpaca Chill|White Bubble|Grin|Docter Suit|Espresso Skin||Carrot
13|🔴-6|Sobta Magic #205|367.9251990571256|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/205|Rare - Morest|Surprised|Scounter|None|YOKEiTO|Blue Helmet|Wafer Roll|Pink Overalls|Fire Cyborg||Baseball Bat
14|🟡|Sobta Magic #618|362.17149926976043|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/618|Rare - Night Dream|Bored|Red Glasses|Tattoo|Pony Cat|Blue Double Braid|Wafer Roll|School Uniform|Honey Skin||Fountain Pen
15|🟡|Sobta Magic #710|361.7564485363617|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/710|Rare - Day Dream|Wink|None|Plaster|Pony Cat|Green Light Undercut|Open Smile|Sci-Fi Suit|Milk Tea Skin||Baseball Bat
16|🔴-5|Sobta Magic #448|358.23812781315706|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/448|Rare - Cybertron|Sad|None|Star Sticker|Pony Cat|Black Bucket Hat|Tongue Out|Hoodie|Almond Skin||Bunching Onion
17|🔴-7|Sobta Magic #555|356.8747295210642|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/555|Rare - Earth|Normal|None|None|Alpaca Chill|Black Bucket Hat|Lollipop|Black Overalls|Fire Cyborg||Wrench
18|🟡|Sobta Magic #647|355.5043760751903|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/647|Rare - Night Dream|Angry|Red Glasses|Pain Relief Patch|Alpaca Chill|Blonde Palm Tree|Choco Donut|Yellow T-Shirt|Earth Mutant||Squeaky Hammer
19|🟡|Sobta Magic #601|349.935874184077|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/601|Rare - Morest|Surprised|None|None|Alpaca Chill|White Bubble|O Mouth|Sailor Suit|Milk Skin||Guitar
20|🔴-6|Sobta Magic #327|324.67578874512276|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/327|Rare - Day Dream|Angry|Red Glasses|None|Pony Cat|Blue Helmet|Tongue Out|Barista Suit|Honey Skin||Wrench
21|🟡|Sobta Magic #722|320.79287315242823|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/722|Rare - Morest|Sad|None|Plaster|YOKEiTO|Blue Helmet|Open Smile|Denim Shirt|Chocolate Skin||Guitar
22|🟡|Sobta Magic #787|318.68363577627576|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/787|Rare - Day Dream|Fascinated|Red Glasses|None|NUMBERS GANGSTER|Pink Inverted Bob|Wafer Roll|Black Jacket|Chocolate Skin||Fire Staff
23|🔴-5|Sobta Magic #53|318.4057757540403|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/53|Rare - Earth|Normal|Scounter|Plaster|My Eyes|Blonde-Brown Man Bun|Tongue Out|Yellow T-Shirt|Caramel Ape||Guitar
24|🔴-4|Sobta Magic #271|313.88442589961124|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/271|Rare - Earth|Surprised|Sunglasses|Tattoo|My Eyes|Orange Spiky|Smirk|White T-Shirt|Vanilla Ape||Nature Staff
25|🟡|Sobta Magic #806|307.87902423240604|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/806|Rare - Night Dream|Bored|Sunglasses|Pain Relief Patch|Little Magic School|Orange Spiky|Rose|Docter Suit|Honey Skin||Carrot
26|🟡|Sobta Magic #607|302.6668949057436|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/607|Rare - Earth|Happy|Red Glasses|Rainbow Sticker|My Eyes|Brown Bubble|Open Smile|White T-Shirt|Milk Skin||Fire Staff
27|🔴-4|Sobta Magic #479|297.51886882342393|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/479|Rare - Night Dream|Angry|None|Plaster|NUMBERS GANGSTER|Blonde Palm Tree|Grumpy|Black Jacket|Earth Mutant||Wrench
28|🔴-1|Sobta Magic #148|296.00442569615336|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/148|Rare - Day Dream|Surprised|None|None|NUMBERS GANGSTER|Brown Bubble|Wafer Roll|White Overalls|Vanilla Ape||Sketch Board
29|🔴-13|Sobta Magic #149|292.0034732955234|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/149|Rare - Day Dream|Wink|None|Star Sticker|GINGA|Brown Palm Tree|Lollipop|Black Overalls|Espresso Skin||Laser Gun
30|🔴-17|Sobta Magic #499|291.21681810111244|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/499|Rare - Earth|Bored|Red Glasses|Pain Relief Patch|YOKEiTO|Captain Girl|Triangle|White T-Shirt|Milk Tea Skin||Guitar
31|🔴-16|Sobta Magic #230|290.6558519247452|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/230|Rare - Day Dream|Sad|None|None|GINGA|Brown Bubble|Smile|Business Suit|Ice Cyborg||Nature Staff
32|🔴-6|Sobta Magic #286|290.30699142310937|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/286|Rare - Earth|Angry|None|None|NUMBERS GANGSTER|Red Ponytail|Wafer Roll|White Overalls|Aqua Mutant||Wrench
