rank|name|score|link|Background Color|Ghost Name|Ghost Type|Ghost Level
1|Thai Ghosts Farming #4912|11006.535947712418|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/4912.png|Black|Phi TayHong #Master|Accidented Ghost|Epic rae
2|Thai Ghosts Farming #4567|7285.211267605634|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/4567.png|Black|Phi Baan Phi Reuan #Master|House Ghost|Epic rare
3|Thai Ghosts Farming #2912|7272.522522522522|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/2912.png|Black|Phi Huakwad #Master|Headheld Ghost|Epic rare
4|Thai Ghosts Farming #1533|7263.368983957219|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/1533.png|Black|Kwai Thanu #Master|Buffalo Demon|Epic rare
5|Thai Ghosts Farming #1865|7255.767012687428|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/1865.png|Black|Phi Krahang #Master|Flying Fusty Men Ghost|Epic rare
6|Thai Ghosts Farming #173|1687.1776972098994|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/173.png||Kwai Thanu|Buffalo Demon #Cross eye|Rare
6|Thai Ghosts Farming #1253|1687.1776972098994|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/1253.png||Kwai Thanu|Buffalo Demon #Cross eye|Rare
6|Thai Ghosts Farming #3457|1687.1776972098994|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/3457.png||Kwai Thanu|Buffalo Demon #Cross eye|Rare
9|Thai Ghosts Farming #2838|781.1925378460667|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/2838.png|Green|Phi Krasue #Star eye|Flying Fusty Women Ghost|Rare
10|Thai Ghosts Farming #867|775.0358501440503|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/867.png|Light-Sky-Blue|Phi Krasue #Star eye|Flying Fusty Women Ghost|Rare
11|Thai Ghosts Farming #3750|769.630768573686|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/3750.png|Orange|Phi Lookgrog #Cross eye|Mystery Child Ghost|Rare
12|Thai Ghosts Farming #636|765.4644810221193|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/636.png|Blue|Phi Krasue #Star eye|Flying Fusty Women Ghost|Rare
13|Thai Ghosts Farming #3012|764.1280930877933|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/3012.png|Red|Phi Krasue #Star eye|Flying Fusty Women Ghost|Rare
14|Thai Ghosts Farming #3854|763.8951150459737|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/3854.png|Crimson|Phi Krasue #Star eye|Flying Fusty Women Ghost|Rare
15|Thai Ghosts Farming #3278|763.0231329216073|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/3278.png|Light-Yellow|Phi Krasue #Star eye|Flying Fusty Women Ghost|Rare
16|Thai Ghosts Farming #3947|762.9204033981696|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/3947.png|Sky-Blue|Phi Krasue #Star eye|Flying Fusty Women Ghost|Rare
17|Thai Ghosts Farming #4036|744.8549667801005|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/4036.png|Orange|Phi KongKoi #Thunder eye|Wild Ghost|Rare
18|Thai Ghosts Farming #3728|719.6024415275754|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/3728.png|Orange-Red|Phi KongKoi #Cross eye|Wild Ghost|Rare
19|Thai Ghosts Farming #832|715.2180280295588|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/832.png|Medium-Sea-Green|Phi Lookgrog #Cross eye|Mystery Child Ghost|Rare
20|Thai Ghosts Farming #3976|713.4696853948192|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/3976.png|Light-Grey|Phi KongKoi #Thunder eye|Wild Ghost|Rare
21|Thai Ghosts Farming #3814|712.9682530070611|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/3814.png|Green|Phi Lookgrog #Cross eye|Mystery Child Ghost|Rare
22|Thai Ghosts Farming #1212|711.056628582725|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/1212.png|Green|Phi JaotiJaotang|Joss House Ghost|Uncommon
23|Thai Ghosts Farming #130|704.1023883244936|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/130.png|Yellow|Phi Lookgrog #Cross eye|Mystery Child Ghost|Rare
24|Thai Ghosts Farming #669|703.5946703121951|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/669.png|Medium-Sea-Green|Phi Baan Phi Reuan #Cross eye|House Ghost|Rare
25|Thai Ghosts Farming #4586|702.851719906926|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/4586.png|Orange-Chocolate|Phi JaotiJaotang|Joss House Ghost|Uncommon
26|Thai Ghosts Farming #1027|700.7481093826568|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/1027.png|Light-Slate-Grey|Phi Lookgrog #Cross eye|Mystery Child Ghost|Rare
27|Thai Ghosts Farming #1101|700.4688328799001|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/1101.png|Light-Grey|Phi JaotiJaotang #Cross eye|Joss House Ghost|Rare
28|Thai Ghosts Farming #2601|699.400421325555|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/2601.png|Tomato|Phi KongKoi #Cross eye|Wild Ghost|Rare
29|Thai Ghosts Farming #1374|698.836484958321|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/1374.png|Light-Slate-Grey|Phi JaotiJaotang|Joss House Ghost|Uncommon
30|Thai Ghosts Farming #3884|697.3783940825058|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/3884.png|Lemon|Phi Lookgrog #Cross eye|Mystery Child Ghost|Rare
31|Thai Ghosts Farming #1241|695.3285717587778|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/1241.png|Blue|Phi JaotiJaotang|Joss House Ghost|Uncommon
32|Thai Ghosts Farming #4041|695.1924061814357|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/4041.png|Deep-Pink|Phi JaotiJaotang|Joss House Ghost|Uncommon
33|Thai Ghosts Farming #4511|694.902907438058|https://cloudflare-ipfs.com/ipfs/bafybeico3kuczc67wj7kracsagie4luzk2wq3ya6oxubwsqqo6lbadmgle/4511.png|Blue-Violet|Phi Lookgrog #Cross eye|Mystery Child Ghost|Rare
