_rank|_name|_score|_link|Background|Bag|Eyes|Head|Mouth|Outfit|Pickle
1|Tickled Pickle #7000|42001.71484566389|https://qx.app/asset/0x0a71bAb4673A408465e33B638d41e96F4f1652c4/3844|Ultra Rare|No Bag|Zombie|Zombie|Zombie|Zombie|Zombie Pickle
2|Tickled Pickle #6999|37335.048178997225|https://qx.app/asset/0x0a71bAb4673A408465e33B638d41e96F4f1652c4/2353|Super Rare Dark|No Bag|Blue Glowing|Blue Glowing|Blue Glowing|Blue Glowing|Blue Glowing Pickle
2|Tickled Pickle #6998|37335.048178997225|https://qx.app/asset/0x0a71bAb4673A408465e33B638d41e96F4f1652c4/4630|Super Rare Dark|No Bag|Golden Glowing|Golden Glowing|Golden Glowing|Golden Glowing|Golden Glowing Pickle
2|Tickled Pickle #6997|37335.048178997225|https://qx.app/asset/0x0a71bAb4673A408465e33B638d41e96F4f1652c4/4945|Super Rare Dark|No Bag|Green Glowing|Green Glowing|Green Glowing|Green Glowing|Green Glowing Pickle
5|Tickled Pickle #1782|210.17942751030168|https://qx.app/asset/0x0a71bAb4673A408465e33B638d41e96F4f1652c4/2233|Blue|Grey Waistbag|Anxious|Ketchup Bottle|Random Leaf|Black Jacket|Extra Fermented
6|Tickled Pickle #913|210.07565363559561|https://qx.app/asset/0x0a71bAb4673A408465e33B638d41e96F4f1652c4/1913|Irisdescent 2|Purple White Spotted Waistbag|Anxious|Nothing|Daisy|Purple Puff Jacket|Extra Fermented
7|Tickled Pickle #2997|208.63916077075604|https://qx.app/asset/0x0a71bAb4673A408465e33B638d41e96F4f1652c4/4873|Bubbles|Blue Waistbag|Hypnotised|Nothing|Random Leaf|Black Jacket|Over Fermented
8|Tickled Pickle #4627|207.26854442520596|https://qx.app/asset/0x0a71bAb4673A408465e33B638d41e96F4f1652c4/4018|Green|Rainbow Waistbag|Happy|Donut|Lollypop|Black Jacket|Over Fermented
9|Tickled Pickle #533|205.97899211716845|https://qx.app/asset/0x0a71bAb4673A408465e33B638d41e96F4f1652c4/1381|Purple|Blue Orange Waistbag|Dumbass|Ketchup Bottle|Sugar Leaking|Purple Puff Jacket|Fresh
10|Tickled Pickle #5785|205.56954844474808|https://qx.app/asset/0x0a71bAb4673A408465e33B638d41e96F4f1652c4/5253|Gradient 1|Purple White Spotted Waistbag|Sunglasses 6|Ketchup Bottle|Unimpressed|Black Jacket|Over Fermented
